date,open,high,low,close,adj_close,volume
2020-09-03,399.50,401.88,383.38,386.29,372.34,1500800
2020-09-02,385.15,398.90,384.11,398.07,383.69,1214500
2020-09-01,387.82,389.19,385.00,386.81,372.84,908400
2020-08-31,392.17,395.00,388.47,390.26,376.16,1030400
2020-08-28,395.51,396.00,391.73,395.59,378.99,728300
2020-08-27,396.84,400.09,394.88,395.02,378.44,700300
2020-08-26,393.00,397.66,390.56,395.44,378.84,908600
2020-08-25,395.72,402.38,392.40,394.84,378.27,987400
2020-08-24,390.83,395.57,389.90,395.04,378.46,1006400
2020-08-21,387.71,390.79,386.86,389.57,373.22,996000
2020-08-20,388.28,389.20,383.58,387.88,371.60,1203700
2020-08-19,390.08,391.97,388.84,390.05,373.68,717400
2020-08-18,389.17,391.91,388.34,390.26,373.88,806100
2020-08-17,393.98,395.19,387.73,388.96,372.64,864100
2020-08-14,388.64,394.20,388.02,391.42,374.99,648600
2020-08-13,390.35,394.05,387.00,389.24,372.90,1053600
2020-08-12,394.02,396.52,391.29,392.44,375.97,878500
2020-08-11,391.51,399.49,391.33,391.96,375.51,1312800
2020-08-10,386.02,391.11,385.96,389.26,372.92,856000
2020-08-07,380.01,386.66,378.76,385.62,369.44,924900
2020-08-06,381.78,383.19,378.09,379.74,363.80,698500
2020-08-05,380.00,384.87,378.27,383.50,367.41,1018500
2020-08-04,379.08,380.84,376.29,377.99,362.13,900600
2020-08-03,376.84,378.41,371.44,377.10,361.27,923100
2020-07-31,380.55,381.37,373.68,378.97,363.07,1101800
2020-07-30,382.71,385.84,380.86,381.72,365.70,983300
2020-07-29,389.56,390.47,384.63,387.30,371.05,1209600
2020-07-28,382.00,390.21,382.00,386.66,370.43,1132100
2020-07-27,384.73,385.99,380.11,382.09,366.05,1047000
2020-07-24,388.00,393.49,383.61,386.21,370.00,1305700
2020-07-23,393.77,394.15,385.71,387.62,371.35,1442800
2020-07-22,376.71,394.67,375.62,394.08,377.54,2280700
2020-07-21,377.98,378.90,370.58,375.12,359.38,1997300
2020-07-20,369.00,369.00,362.43,365.53,350.19,1444500
2020-07-17,366.30,369.00,362.85,368.50,353.03,1135500
2020-07-16,362.30,365.94,359.02,365.88,350.52,955400
2020-07-15,361.64,365.58,360.56,364.56,349.26,1617300
2020-07-14,349.13,355.92,349.00,355.66,340.73,1651900
2020-07-13,353.60,357.02,348.60,353.06,338.24,2031300
2020-07-10,342.33,349.33,341.66,349.25,334.59,1514200
2020-07-09,348.00,349.49,339.18,339.96,325.69,1823800
2020-07-08,353.50,357.30,348.63,350.23,335.53,1965100
2020-07-07,362.59,362.92,352.78,353.27,338.44,1395900
2020-07-06,366.48,367.12,360.84,362.59,347.37,1202300
2020-07-02,363.53,366.07,360.69,362.00,346.81,1396000
2020-07-01,366.34,368.29,360.31,360.42,345.29,1430100
2020-06-30,365.35,367.25,362.41,364.92,349.60,1482100
2020-06-29,360.39,367.50,359.49,367.50,352.08,1073000
2020-06-26,359.56,367.42,355.01,356.76,341.79,2008600
2020-06-25,357.86,363.31,353.33,362.82,347.59,1391600
2020-06-24,370.90,371.23,358.32,359.82,344.72,2302800
2020-06-23,378.25,378.78,371.04,371.70,356.10,1469300
2020-06-22,372.26,376.84,370.44,375.96,360.18,1370600
2020-06-19,383.34,383.59,372.00,372.20,356.58,4322200
2020-06-18,379.68,381.32,376.07,378.39,362.51,1562000
2020-06-17,382.50,386.24,376.92,382.11,366.07,1519000
2020-06-16,386.56,391.79,379.58,382.77,366.71,2038600
2020-06-15,373.28,377.15,367.55,373.28,357.61,2271300
2020-06-12,393.33,394.43,376.47,381.87,365.84,1788100
